,name,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
0,11,1,1,4.1,775,387,7293,50,800.0,5004
1,4,1,0,4.1,787,387,7293,8,800.0,5004
2,11,1,0,3.8,918,387,159,11,800.0,5004
3,2,0,0,3.7,88,387,5221,72,300.0,5004
4,4,0,0,3.8,166,286,7293,4,600.0,5004
5,7,1,0,3.8,286,286,7293,1136,600.0,5004
7,85,1,1,4.6,2556,387,302,85,600.0,5004
8,7,1,0,4.0,324,387,2321,34,700.0,5004
9,7,1,0,4.2,504,387,2321,7,550.0,5004
10,3,1,0,4.1,402,387,2321,273,500.0,5004
11,8,1,1,4.2,150,387,2321,34,600.0,5004
12,3,1,1,4.2,164,387,2321,9,500.0,5004
13,2,0,0,4.0,424,387,2321,125,450.0,5004
14,11,1,0,3.8,918,387,159,11,800.0,5004
15,10,1,0,3.8,90,387,2321,273,650.0,5004
16,4,1,0,3.9,133,387,2321,4,800.0,5004
17,13,1,0,3.8,144,387,2321,13,700.0,5004
18,2,0,0,3.9,93,387,2321,16,300.0,5004
20,3,1,0,3.0,62,387,2321,3,400.0,5004
21,13,1,0,3.7,180,387,2321,13,500.0,5004
23,3,1,0,3.6,62,387,23,3,600.0,5004
29,6,0,0,3.8,148,286,302,6,550.0,5004
30,9,1,0,4.0,219,286,2321,70,600.0,5004
31,2,1,0,2.8,506,387,5221,2,500.0,5004
33,30,1,0,3.9,172,387,667,83,750.0,5004
34,54,1,0,4.2,415,387,5221,54,500.0,1654
35,30,1,0,3.9,230,387,667,167,650.0,5004
37,10,1,0,4.2,1647,387,7293,83,600.0,5004
38,67,1,0,4.4,4884,1030,7293,56,750.0,5004
40,19,1,0,3.8,133,286,5221,43,200.0,5004
42,57,1,0,3.9,286,387,5221,132,500.0,5004
43,55,1,0,3.9,540,387,5221,106,800.0,5004
44,85,1,1,4.6,2556,387,302,85,600.0,5004
45,2,0,0,3.8,36,387,667,38,400.0,5004
46,2,1,0,3.6,244,56,5221,776,300.0,157
47,3,1,0,4.0,804,56,7293,16,450.0,4667
48,43,1,0,3.7,679,2,7293,117,850.0,5004
49,3,1,0,3.1,245,56,5221,3,300.0,4641
52,52,0,0,4.3,345,387,1074,208,400.0,5004
53,4,1,0,4.0,618,1030,7293,4,750.0,5004
54,6,0,0,4.0,1047,387,5221,6,450.0,5004
55,28,1,0,3.9,627,387,667,24,450.0,11
57,6,1,1,4.2,354,387,7293,6,800.0,5004
60,5,0,0,4.2,244,387,7293,5,800.0,5004
61,2,1,1,3.6,163,56,7293,2,800.0,5004
63,14,0,1,4.0,808,387,7293,776,850.0,5004
65,27,1,0,4.1,1720,286,5221,6,400.0,5004
67,6,0,0,4.1,868,387,324,6,1200.0,5004
71,2,0,0,4.1,520,387,5221,2,300.0,5004
74,31,0,0,3.6,299,387,5221,36,300.0,5004
76,6,1,0,4.1,558,286,5221,359,150.0,526
79,6,0,0,3.8,39,387,5221,31,350.0,5004
81,24,1,0,4.2,146,387,137,24,400.0,5004
86,30,1,0,4.4,4401,1030,7293,94,600.0,5004
94,23,0,0,2.6,283,387,7293,1136,600.0,5004
95,3,0,0,3.3,62,387,357,233,800.0,5004
98,6,0,0,3.7,65,387,5221,26,300.0,5004
99,48,1,0,3.8,71,286,1074,23,400.0,5004
100,6,0,0,3.5,52,387,5221,359,300.0,5004
101,2,0,0,3.7,130,387,5221,359,200.0,5004
103,2,0,0,3.8,45,387,341,65,400.0,5004
120,3,1,0,4.1,201,387,5221,103,300.0,3427
145,9,1,0,4.0,771,387,7293,233,450.0,4508
146,9,0,0,3.0,98,387,357,776,800.0,5004
148,6,1,1,4.1,175,1030,7293,46,500.0,2644
150,5,1,0,3.8,540,286,7293,5,650.0,5004
151,2,1,0,3.8,124,56,5221,2,400.0,5004
152,26,1,0,4.1,340,387,341,26,500.0,5004
153,59,1,0,3.8,505,387,5221,132,450.0,5004
155,22,1,0,4.1,438,1030,1074,8,500.0,5004
156,31,1,0,3.7,264,4,7293,10,750.0,5004
159,6,1,0,3.7,97,1030,5221,50,350.0,5004
162,6,1,0,3.6,195,1030,7293,6,800.0,5004
164,10,1,0,4.6,228,1030,2321,30,400.0,5004
166,9,1,1,4.1,364,1030,7293,9,1200.0,5004
167,13,1,0,3.7,107,286,137,9,150.0,5004
168,6,1,0,3.2,167,56,5221,15,300.0,4140
